peak_sample,peak_time_s
9312356,18188.1953125
9312694,18188.85546875
9313025,18189.501953125
9313346,18190.12890625
9313681,18190.783203125
9314021,18191.447265625
9314339,18192.068359375
9314654,18192.68359375
9314971,18193.302734375
9315278,18193.90234375
9315599,18194.529296875
9315947,18195.208984375
9316267,18195.833984375
9316604,18196.4921875
9317034,18197.33203125
9317393,18198.033203125
9317715,18198.662109375
9318043,18199.302734375
9318359,18199.919921875
9318679,18200.544921875
9318997,18201.166015625
9319333,18201.822265625
9319675,18202.490234375
9320014,18203.15234375
9320361,18203.830078125
9320745,18204.580078125
9321189,18205.447265625
9321530,18206.11328125
9321867,18206.771484375
9322181,18207.384765625
9322519,18208.044921875
9322851,18208.693359375
9323161,18209.298828125
9323478,18209.91796875
9323782,18210.51171875
9324082,18211.09765625
9324399,18211.716796875
9324731,18212.365234375
9325070,18213.02734375
9325395,18213.662109375
9325721,18214.298828125
9326056,18214.953125
9326375,18215.576171875
9326694,18216.19921875
9327023,18216.841796875
9327343,18217.466796875
9327650,18218.06640625
9327959,18218.669921875
9328261,18219.259765625
9328576,18219.875
9328884,18220.4765625
9329184,18221.0625
9329486,18221.65234375
9329784,18222.234375
9330084,18222.8203125
9330371,18223.380859375
9330665,18223.955078125
9330948,18224.5078125
9331347,18225.287109375
9331509,18225.603515625
9331783,18226.138671875
9332057,18226.673828125
9332332,18227.2109375
9332601,18227.736328125
9332872,18228.265625
9333142,18228.79296875
9333413,18229.322265625
9333799,18230.076171875
9334070,18230.60546875
9334229,18230.916015625
9334505,18231.455078125
9334780,18231.9921875
9335055,18232.529296875
9335328,18233.0625
9335604,18233.6015625
9335876,18234.1328125
9336151,18234.669921875
9336424,18235.203125
9336700,18235.7421875
9336976,18236.28125
9337250,18236.81640625
9337526,18237.35546875
9337811,18237.912109375
9338115,18238.505859375
9338415,18239.091796875
9338704,18239.65625
9339006,18240.24609375
9339310,18240.83984375
9339620,18241.4453125
9339926,18242.04296875
9340236,18242.6484375
9340538,18243.23828125
9340846,18243.83984375
9341152,18244.4375
9341446,18245.01171875
9341739,18245.583984375
9342034,18246.16015625
9342322,18246.72265625
9342602,18247.26953125
9342894,18247.83984375
9343181,18248.400390625
9343465,18248.955078125
9343746,18249.50390625
9344026,18250.05078125
9344308,18250.6015625
9344588,18251.1484375
9344873,18251.705078125
9345162,18252.26953125
9345475,18252.880859375
9345789,18253.494140625
9346093,18254.087890625
9346385,18254.658203125
9346678,18255.23046875
9346974,18255.80859375
9347271,18256.388671875
9347598,18257.02734375
9347934,18257.68359375
9348246,18258.29296875
9348552,18258.890625
9348853,18259.478515625
9349159,18260.076171875
9349459,18260.662109375
9349767,18261.263671875
9350070,18261.85546875
9350379,18262.458984375
9350692,18263.0703125
9351001,18263.673828125
9351320,18264.296875
9351682,18265.00390625
9352051,18265.724609375
9352376,18266.359375
9352701,18266.994140625
9353039,18267.654296875
9353390,18268.33984375
9353784,18269.109375
9354127,18269.779296875
9354511,18270.529296875
9354855,18271.201171875
9355173,18271.822265625
9355484,18272.4296875
9355799,18273.044921875
9356106,18273.64453125
9356419,18274.255859375
9356720,18274.84375
9357021,18275.431640625
9357330,18276.03515625
9357730,18276.81640625
9357895,18277.138671875
9358161,18277.658203125
9358504,18278.328125
9358840,18278.984375
9359167,18279.623046875
9359472,18280.21875
9359766,18280.79296875
9360048,18281.34375
9360326,18281.88671875
9360598,18282.41796875
9360868,18282.9453125
9361160,18283.515625
9361457,18284.095703125
9361741,18284.650390625
9362019,18285.193359375
9362305,18285.751953125
9362588,18286.3046875
9362884,18286.8828125
9363174,18287.44921875
